Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
14,26,8166,25269,11,17,Monday June 28 2021 06:53:23
21,14,10608,6265,13,9,Monday June 28 2021 06:56:23
13,15,6951,2142,13,13,Monday June 28 2021 06:59:23
16,9,8505,1016,14,8,Monday June 28 2021 07:02:23
17,11,6734,2264,14,9,Monday June 28 2021 07:05:23
15,12,7274,10583,12,11,Monday June 28 2021 07:08:23
15,11,4197,8923,11,10,Monday June 28 2021 07:11:23
14,6,2107,6850,13,6,Monday June 28 2021 07:14:23
9,16,5252,19505,9,12,Monday June 28 2021 07:17:23
5,15,694,13702,5,12,Monday June 28 2021 07:20:23
7,14,3023,6024,6,12,Monday June 28 2021 07:23:23
14,5,7006,788,11,5,Monday June 28 2021 07:26:23
13,11,5641,3033,12,11,Monday June 28 2021 07:29:23
14,9,8294,477,13,8,Monday June 28 2021 07:32:23
14,9,8827,4832,12,9,Monday June 28 2021 07:35:23
8,10,2774,5570,8,8,Monday June 28 2021 07:38:23
8,15,3320,10587,8,15,Monday June 28 2021 07:41:23
8,14,3669,15239,6,12,Monday June 28 2021 07:44:23
5,12,1708,6310,5,11,Monday June 28 2021 07:47:23
17,9,7260,4569,14,9,Monday June 28 2021 07:50:23
10,12,5152,7626,8,11,Monday June 28 2021 07:53:23
8,9,4394,5194,8,9,Monday June 28 2021 07:56:23
9,16,4607,1828,8,14,Monday June 28 2021 07:59:23
9,9,5098,780,7,7,Monday June 28 2021 08:02:23
8,9,2439,972,8,8,Monday June 28 2021 08:05:23
7,10,2269,3964,7,10,Monday June 28 2021 08:08:23
12,12,4025,6857,12,11,Monday June 28 2021 08:11:23
7,3,3860,3243,7,3,Monday June 28 2021 08:14:23
11,11,5687,587,8,10,Monday June 28 2021 08:17:23
10,7,2356,382,10,6,Monday June 28 2021 08:20:23
11,9,5758,785,11,7,Monday June 28 2021 08:23:23
7,10,2283,6712,6,9,Monday June 28 2021 08:26:23
15,11,10893,2174,12,8,Monday June 28 2021 08:29:23
9,8,6368,8411,8,8,Monday June 28 2021 08:32:23
9,7,2466,379,8,7,Monday June 28 2021 08:35:23
5,8,368,2270,5,8,Monday June 28 2021 08:38:23
9,5,5113,410,6,5,Monday June 28 2021 08:41:23
2,6,104,3482,2,6,Monday June 28 2021 08:44:23
6,5,2595,283,5,5,Monday June 28 2021 08:47:23
0,2,0,114,0,2,Monday June 28 2021 08:50:23
0,2,0,114,0,2,Monday June 28 2021 08:53:23
0,1,0,57,0,1,Monday June 28 2021 08:56:23
0,1,0,57,0,1,Monday June 28 2021 08:59:23
0,1,0,57,0,1,Monday June 28 2021 09:02:23
