Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
22614,21295,10913879,10875984,84,84,Monday June 28 2021 07:53:10
16168,15038,7864961,7888041,91,91,Monday June 28 2021 07:56:10
14715,13566,7155668,7171634,89,90,Monday June 28 2021 07:59:10
13206,12078,6411985,6439330,93,93,Monday June 28 2021 08:02:10
12611,11510,6137539,6162757,87,89,Monday June 28 2021 08:05:10
12921,13268,6285598,6265589,90,96,Monday June 28 2021 08:08:10
12577,13460,6115715,6106638,90,96,Monday June 28 2021 08:11:10
11944,12933,5815272,5768322,87,96,Monday June 28 2021 08:14:10
11823,12901,5781363,5764260,90,96,Monday June 28 2021 08:17:10
11362,12339,5508355,5516152,91,95,Monday June 28 2021 08:20:10
11234,12316,5483959,5488900,92,96,Monday June 28 2021 08:23:10
11341,12355,5508528,5525897,89,96,Monday June 28 2021 08:26:10
11096,12138,5388559,5404989,91,95,Monday June 28 2021 08:29:10
10583,11644,5145580,5165385,87,96,Monday June 28 2021 08:32:10
10537,11678,5151517,5137986,93,96,Monday June 28 2021 08:35:10
10744,11823,5231263,5230187,87,96,Monday June 28 2021 08:38:10
10610,11679,5147058,5183289,90,96,Monday June 28 2021 08:41:10
10721,11721,5208289,5188755,92,96,Monday June 28 2021 08:44:10
10698,11771,5187184,5194836,91,96,Monday June 28 2021 08:47:10
10427,11441,5076707,5056727,92,96,Monday June 28 2021 08:50:10
10420,11417,5058133,5056263,89,95,Monday June 28 2021 08:53:10
10505,11575,5090548,5092978,91,96,Monday June 28 2021 08:56:10
10095,11176,4909243,4905876,92,96,Monday June 28 2021 08:59:10
9836,10957,4791030,4807979,92,96,Monday June 28 2021 09:02:10
9999,11062,4839313,4861353,89,96,Monday June 28 2021 09:05:10
9670,10800,4721212,4660852,93,96,Monday June 28 2021 09:08:10
10316,11383,5019226,5004471,88,96,Monday June 28 2021 09:11:10
9850,10921,4769303,4808836,90,96,Monday June 28 2021 09:14:10
9856,11035,4834370,4788086,92,96,Monday June 28 2021 09:17:10
9994,11128,4856917,4893812,90,96,Monday June 28 2021 09:20:10
9834,10921,4817894,4765220,93,96,Monday June 28 2021 09:23:10
10015,11000,4858469,4880405,90,96,Monday June 28 2021 09:26:10
10294,11451,5003993,5021164,93,96,Monday June 28 2021 09:29:10
9944,10990,4840851,4802171,91,96,Monday June 28 2021 09:32:10
9835,10908,4834738,4771531,90,95,Monday June 28 2021 09:35:10
8954,10274,4351312,4384852,88,96,Monday June 28 2021 09:38:10
9199,10554,4466106,4549575,94,96,Monday June 28 2021 09:41:10
8844,10116,4221703,4321104,95,96,Monday June 28 2021 09:44:10
4526,6093,1863236,2082842,96,96,Monday June 28 2021 09:47:10
