Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-11 13:31:49.020,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:46609,       2,     520,    1
2018-05-11 13:31:48.185,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50089,        10.0.2.3,        10.0.2.3:53   ,       2,     144,    1
2018-05-11 13:31:49.169,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:38489,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-11 13:31:49.298,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:56292,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-11 13:31:49.297,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:49980,        10.0.2.3,        10.0.2.3:53   ,       2,     114,    1
2018-05-11 13:31:49.544,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:35821,        10.0.2.3,        10.0.2.3:53   ,       2,     118,    1
2018-05-11 13:31:46.193,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:54622,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-11 13:31:49.049,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57284,       2,     455,    1
2018-05-11 13:31:48.637,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:59509,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-11 13:31:47.181,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50117,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-11 13:31:49.261,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35096,       2,     477,    1
2018-05-11 13:31:49.296,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35627,       2,     472,    1
2018-05-11 13:31:49.294,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:55867,       2,     461,    1
2018-05-11 13:31:47.878,    0.000,UDP  ,   217.114.59.66,   217.114.59.66:123  ,   192.168.1.100,   192.168.1.100:59212,       1,      76,    1
2018-05-11 13:31:50.009,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47031,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
