Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
16,14,3150,4128,13,13,Saturday May 08 2021 09:25:59
8,6,2614,831,8,6,Saturday May 08 2021 09:28:59
15,5,2515,3165,13,5,Saturday May 08 2021 09:31:59
6,5,1768,617,5,5,Saturday May 08 2021 09:34:59
8,11,2003,2094,8,9,Saturday May 08 2021 09:37:59
5,4,878,3660,5,4,Saturday May 08 2021 09:40:59
3,2,1308,104,3,2,Saturday May 08 2021 09:43:59
6,3,545,161,6,3,Saturday May 08 2021 09:46:59
6,8,727,446,6,8,Saturday May 08 2021 09:49:59
3,9,172,3564,3,9,Saturday May 08 2021 09:52:59
3,8,597,2002,3,8,Saturday May 08 2021 09:55:59
4,6,643,636,4,5,Saturday May 08 2021 09:58:59
7,9,1959,645,7,9,Saturday May 08 2021 10:01:59
10,9,589,3515,10,9,Saturday May 08 2021 10:04:59
5,3,1716,156,5,3,Saturday May 08 2021 10:07:59
8,2,1142,507,7,2,Saturday May 08 2021 10:10:59
2,5,104,1480,2,4,Saturday May 08 2021 10:13:59
6,10,1909,4295,6,9,Saturday May 08 2021 10:16:59
3,7,156,1482,3,7,Saturday May 08 2021 10:19:59
5,1,1720,57,5,1,Saturday May 08 2021 10:22:59
4,5,857,2164,3,5,Saturday May 08 2021 10:25:59
3,8,164,3391,3,8,Saturday May 08 2021 10:28:59
5,8,2586,3162,5,8,Saturday May 08 2021 10:31:59
8,9,2246,1918,7,9,Saturday May 08 2021 10:34:59
4,3,684,166,4,3,Saturday May 08 2021 10:37:59
6,8,615,2648,6,7,Saturday May 08 2021 10:40:59
3,8,160,3081,3,8,Saturday May 08 2021 10:43:59
10,5,3208,3190,10,5,Saturday May 08 2021 10:46:59
4,11,1045,4256,4,11,Saturday May 08 2021 10:49:59
2,7,539,1550,2,5,Saturday May 08 2021 10:52:59
2,3,452,931,2,3,Saturday May 08 2021 10:55:59
3,10,596,2839,3,9,Saturday May 08 2021 10:58:59
9,8,902,2500,8,8,Saturday May 08 2021 11:01:59
5,6,758,1611,5,6,Saturday May 08 2021 11:04:59
8,8,3525,2184,8,8,Saturday May 08 2021 11:07:59
9,6,2220,2483,8,5,Saturday May 08 2021 11:10:59
3,8,1778,2463,3,8,Saturday May 08 2021 11:13:59
3,8,971,1808,3,6,Saturday May 08 2021 11:16:59
0,4,0,2164,0,4,Saturday May 08 2021 11:19:59
