Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
17513,18467,5638621,5791778,96,96,Saturday May 08 2021 09:25:36
13007,13285,4157185,4356136,95,95,Saturday May 08 2021 09:28:36
11820,11825,3752601,3930726,95,95,Saturday May 08 2021 09:31:36
11569,11554,3671651,3863537,96,96,Saturday May 08 2021 09:34:36
10674,10533,3387169,3573617,95,95,Saturday May 08 2021 09:37:36
10785,13545,3369321,3686115,96,96,Saturday May 08 2021 09:40:36
10696,14421,3310039,3655646,95,96,Saturday May 08 2021 09:43:36
10384,14277,3243382,3583091,95,96,Saturday May 08 2021 09:46:36
10517,14525,3259865,3634486,96,96,Saturday May 08 2021 09:49:36
10472,14540,3239133,3613952,96,96,Saturday May 08 2021 09:52:36
9956,13945,3065699,3415748,94,96,Saturday May 08 2021 09:55:36
10071,13994,3117585,3461247,95,96,Saturday May 08 2021 09:58:36
9844,13860,3030657,3383329,94,96,Saturday May 08 2021 10:01:36
9751,13736,2994895,3336234,96,96,Saturday May 08 2021 10:04:36
9543,13403,2931854,3272221,96,96,Saturday May 08 2021 10:07:36
9720,13732,3005969,3339532,96,96,Saturday May 08 2021 10:10:36
9459,13371,2895567,3238801,95,96,Saturday May 08 2021 10:13:36
9265,13232,2833062,3174223,96,96,Saturday May 08 2021 10:16:36
9411,13363,2904556,3229535,95,96,Saturday May 08 2021 10:19:36
9504,13490,2917136,3265394,95,96,Saturday May 08 2021 10:22:36
17064,20303,4933048,5424385,96,96,Saturday May 08 2021 10:25:36
16860,20818,4842156,6280749,96,96,Saturday May 08 2021 10:28:36
16751,19855,4823694,6068192,96,96,Saturday May 08 2021 10:31:36
16893,19661,4844682,6066212,96,96,Saturday May 08 2021 10:34:36
16483,19069,4707080,5972643,96,96,Saturday May 08 2021 10:37:36
16654,22236,4774802,6516107,96,96,Saturday May 08 2021 10:40:36
16947,22358,4857257,6514418,96,96,Saturday May 08 2021 10:43:36
16529,22515,4742489,6408049,96,96,Saturday May 08 2021 10:46:36
16589,24764,4809106,7193595,96,96,Saturday May 08 2021 10:49:36
16055,24966,4644875,7474122,96,96,Saturday May 08 2021 10:52:36
16471,25781,4785409,7884003,96,96,Saturday May 08 2021 10:55:36
16271,26445,4720563,8222172,96,96,Saturday May 08 2021 10:58:36
16077,26411,4691027,8251381,96,96,Saturday May 08 2021 11:01:36
16167,25511,4705807,8222472,96,96,Saturday May 08 2021 11:04:36
16203,25516,4734121,8711042,96,96,Saturday May 08 2021 11:07:36
16276,25580,4781577,9244604,96,96,Saturday May 08 2021 11:10:36
15884,24896,4654483,9555962,96,96,Saturday May 08 2021 11:13:36
15186,24690,4528373,11267485,96,96,Saturday May 08 2021 11:16:36
7050,15791,2198877,8517267,96,96,Saturday May 08 2021 11:19:36
0,710,0,419670,0,79,Saturday May 08 2021 11:22:36
