Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
15,24,5723,4385,14,14,Saturday May 08 2021 09:25:37
8,15,2317,5567,8,14,Saturday May 08 2021 09:28:37
9,4,480,224,9,3,Saturday May 08 2021 09:31:37
11,9,4180,3039,11,9,Saturday May 08 2021 09:34:37
4,17,791,8602,4,14,Saturday May 08 2021 09:37:37
14,15,3895,5419,10,13,Saturday May 08 2021 09:40:37
9,16,2154,2234,9,15,Saturday May 08 2021 09:43:37
16,12,2367,3415,14,10,Saturday May 08 2021 09:46:37
5,11,584,1384,5,11,Saturday May 08 2021 09:49:37
10,25,2827,3096,8,21,Saturday May 08 2021 09:52:37
8,12,437,1255,8,10,Saturday May 08 2021 09:55:37
9,12,1621,3208,9,12,Saturday May 08 2021 09:58:37
7,12,786,1735,6,12,Saturday May 08 2021 10:01:37
4,14,2089,1696,4,13,Saturday May 08 2021 10:04:37
4,16,220,2706,4,15,Saturday May 08 2021 10:07:37
13,14,3353,5331,12,14,Saturday May 08 2021 10:10:37
4,13,1120,1414,4,11,Saturday May 08 2021 10:13:37
9,13,3382,6603,9,11,Saturday May 08 2021 10:16:37
7,15,898,3629,7,13,Saturday May 08 2021 10:19:37
7,7,1018,1187,6,7,Saturday May 08 2021 10:22:37
22,37,6165,10374,20,29,Saturday May 08 2021 10:25:37
32,33,5949,11627,27,23,Saturday May 08 2021 10:28:37
29,30,7552,6783,27,24,Saturday May 08 2021 10:31:37
30,30,8533,6803,23,23,Saturday May 08 2021 10:34:37
30,15,8242,7593,23,13,Saturday May 08 2021 10:37:37
32,29,6362,6749,26,24,Saturday May 08 2021 10:40:37
32,33,7091,7755,25,27,Saturday May 08 2021 10:43:37
37,25,9975,8369,30,23,Saturday May 08 2021 10:46:37
29,29,5022,9803,27,20,Saturday May 08 2021 10:49:37
22,37,4831,6910,19,26,Saturday May 08 2021 10:52:37
23,44,7601,8170,21,34,Saturday May 08 2021 10:55:37
32,40,9287,10388,24,30,Saturday May 08 2021 10:58:37
22,42,10698,10222,15,33,Saturday May 08 2021 11:01:37
31,41,4758,17377,25,34,Saturday May 08 2021 11:04:37
20,42,6219,13202,18,35,Saturday May 08 2021 11:07:37
21,50,3163,12754,18,39,Saturday May 08 2021 11:10:37
25,51,4846,16904,18,41,Saturday May 08 2021 11:13:37
32,42,7238,13388,21,35,Saturday May 08 2021 11:16:37
16,24,5780,6550,16,20,Saturday May 08 2021 11:19:37
0,3,0,1348,0,3,Saturday May 08 2021 11:22:37
