Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
18000,20508,5350079,5581550,95,95,Saturday May 08 2021 09:25:36
11442,12685,3252524,3481921,95,95,Saturday May 08 2021 09:28:36
10140,11116,2841288,3089260,95,95,Saturday May 08 2021 09:31:36
10006,10913,2803821,3045475,96,96,Saturday May 08 2021 09:34:36
9275,9980,2548731,2779173,96,96,Saturday May 08 2021 09:37:36
9286,13124,2497251,2866850,96,96,Saturday May 08 2021 09:40:36
9362,14195,2516224,2950909,95,96,Saturday May 08 2021 09:43:36
9296,14121,2504509,2943921,96,96,Saturday May 08 2021 09:46:36
8770,13565,2333425,2782049,96,96,Saturday May 08 2021 09:49:36
8800,13640,2346688,2793912,95,96,Saturday May 08 2021 09:52:36
8826,13747,2339820,2786786,95,96,Saturday May 08 2021 09:55:36
8563,13287,2255416,2692426,95,96,Saturday May 08 2021 09:58:36
8454,13140,2229718,2654388,96,96,Saturday May 08 2021 10:01:36
8203,12964,2148527,2613710,95,96,Saturday May 08 2021 10:04:36
8160,12803,2138098,2579768,96,96,Saturday May 08 2021 10:07:36
8104,12791,2114030,2538398,95,96,Saturday May 08 2021 10:10:36
8097,12801,2116032,2552614,96,96,Saturday May 08 2021 10:13:36
8117,12746,2133666,2548736,96,96,Saturday May 08 2021 10:16:36
8235,12946,2156289,2587456,96,96,Saturday May 08 2021 10:19:36
8309,12983,2185917,2613100,96,96,Saturday May 08 2021 10:22:36
27174,31849,6532665,7637848,96,96,Saturday May 08 2021 10:25:36
28784,32960,6857143,8267120,96,96,Saturday May 08 2021 10:28:36
28305,31468,6652465,7993065,96,96,Saturday May 08 2021 10:31:36
28552,31189,6718456,7952338,96,96,Saturday May 08 2021 10:34:36
28506,30834,6656477,7914498,96,96,Saturday May 08 2021 10:37:36
28704,33871,6589448,8069796,96,96,Saturday May 08 2021 10:40:36
28848,34568,6636684,8016910,96,96,Saturday May 08 2021 10:43:36
28992,34290,6668202,8066709,96,96,Saturday May 08 2021 10:46:36
28728,34607,6568611,8091166,96,96,Saturday May 08 2021 10:49:36
28064,36188,6443012,8624552,96,96,Saturday May 08 2021 10:52:36
27627,36218,6279877,8912244,96,96,Saturday May 08 2021 10:55:36
26925,38399,6091960,9710144,96,96,Saturday May 08 2021 10:58:36
26792,41110,6165870,11023250,96,96,Saturday May 08 2021 11:01:36
26577,42584,6151261,11510598,96,96,Saturday May 08 2021 11:04:36
26907,43935,6254707,12141303,96,96,Saturday May 08 2021 11:07:36
26278,43335,6029421,12208752,96,96,Saturday May 08 2021 11:10:36
26392,43134,6115084,12659687,96,96,Saturday May 08 2021 11:13:36
26370,42202,6147860,13044947,96,96,Saturday May 08 2021 11:16:36
13428,26605,3178397,9129991,96,96,Saturday May 08 2021 11:19:36
0,2990,0,1075037,0,80,Saturday May 08 2021 11:22:36
