Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-10 13:39:59.485,  274.155,ICMP ,         8.8.8.8,         8.8.8.8:0    ,   192.168.1.100,   192.168.1.100:0.0  ,     246,   20664,    1
2018-05-10 13:39:59.465,  274.148,ICMP ,   192.168.1.100,   192.168.1.100:0    ,         8.8.8.8,         8.8.8.8:8.0  ,     246,   20664,    1
2018-05-10 13:45:32.043,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:43353,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:45:31.095,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:51868,        10.0.2.3,        10.0.2.3:53   ,       2,     120,    1
2018-05-10 13:45:31.296,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50964,       2,     720,    1
2018-05-10 13:45:31.002,    0.024,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:53273,       2,     652,    1
2018-05-10 13:45:31.096,    0.019,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:51868,       2,     660,    1
2018-05-10 13:45:32.074,    0.083,TCP  ,  216.58.198.163,  216.58.198.163:443  ,   192.168.1.100,   192.168.1.100:58314,      11,    4118,    1
2018-05-10 13:45:31.296,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60022,       1,     354,    1
2018-05-10 13:45:32.046,    0.111,TCP  ,   192.168.1.100,   192.168.1.100:58314,  216.58.198.163,  216.58.198.163:443  ,      11,     956,    1
2018-05-10 13:45:31.295,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60022,        10.0.2.3,        10.0.2.3:53   ,       1,      59,    1
2018-05-10 13:45:32.044,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:43353,       2,     676,    1
2018-05-10 13:45:31.294,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50964,        10.0.2.3,        10.0.2.3:53   ,       2,     118,    1
2018-05-10 13:45:31.001,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:53273,        10.0.2.3,        10.0.2.3:53   ,       2,     112,    1
2018-05-10 13:45:32.281,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:33583,        10.0.2.3,        10.0.2.3:53   ,       1,      61,    1
2018-05-10 13:46:03.428,    0.043,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34556,       4,    3447,    1
2018-05-10 13:46:03.404,    0.067,TCP  ,   192.168.1.100,   192.168.1.100:34552,   216.58.210.46,   216.58.210.46:443  ,       4,     368,    1
2018-05-10 13:46:03.819,    0.000,TCP  ,   216.58.206.34,   216.58.206.34:443  ,   192.168.1.100,   192.168.1.100:42134,       1,      78,    1
2018-05-10 13:46:03.427,    0.044,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34546,       5,    3487,    1
2018-05-10 13:46:04.942,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:44870,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:46:03.397,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58282,        10.0.2.3,        10.0.2.3:53   ,       2,     114,    1
2018-05-10 13:46:04.945,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:44870,       2,     898,    1
2018-05-10 13:46:03.400,    0.003,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58282,       2,     718,    1
2018-05-10 13:46:04.962,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50487,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:46:03.428,    0.043,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34552,       4,    3448,    1
2018-05-10 13:46:03.248,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:40824,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-10 13:46:03.427,    0.043,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34550,       4,    3447,    1
