Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-19 14:38:06.946,    0.020,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:33767,       2,     676,    1
2018-05-19 14:38:02.968,    0.364,TCP  ,  35.166.234.151,  35.166.234.151:443  ,   192.168.1.100,   192.168.1.100:57138,       6,    4012,    1
2018-05-19 14:38:02.765,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50235,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-19 14:38:06.968,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:59996,  216.58.198.227,  216.58.198.227:443  ,       3,     332,    1
2018-05-19 14:38:06.982,    0.000,TCP  ,  216.58.198.227,  216.58.198.227:443  ,   192.168.1.100,   192.168.1.100:59996,       2,      84,    1
2018-05-19 14:38:02.633,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:49237,       2,     590,    1
2018-05-19 14:38:02.984,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:44419,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-19 14:38:05.966,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42512,       2,     660,    1
2018-05-19 14:38:06.317,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:46406,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:05.965,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42512,        10.0.2.3,        10.0.2.3:53   ,       2,     120,    1
2018-05-19 14:38:02.632,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:49237,        10.0.2.3,        10.0.2.3:53   ,       2,     146,    1
2018-05-19 14:38:02.802,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50235,       2,     650,    1
2018-05-19 14:38:06.945,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:33767,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:03.178,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:42698,   93.184.220.29,   93.184.220.29:80   ,       2,     100,    1
2018-05-19 14:38:06.494,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:52130,        10.0.2.3,        10.0.2.3:53   ,       2,     128,    1
2018-05-19 14:38:08.574,    0.000,TCP  ,  216.58.213.106,  216.58.213.106:443  ,   192.168.1.100,   192.168.1.100:38114,       1,      44,    1
2018-05-19 14:38:08.561,    0.013,TCP  ,   192.168.1.100,   192.168.1.100:38114,  216.58.213.106,  216.58.213.106:443  ,       2,     100,    1
2018-05-19 14:38:08.537,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:40401,        10.0.2.3,        10.0.2.3:53   ,       2,     132,    1
2018-05-19 14:38:10.090,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58563,        10.0.2.3,        10.0.2.3:53   ,       2,     130,    1
2018-05-19 14:38:08.524,    0.022,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60578,       2,     768,    1
2018-05-19 14:38:08.561,    0.000,TCP  ,   192.168.1.100,   192.168.1.100:38116,  216.58.213.106,  216.58.213.106:443  ,       1,      60,    1
2018-05-19 14:38:08.538,    0.022,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:40401,       2,     744,    1
2018-05-19 14:38:08.574,    0.000,TCP  ,  216.58.213.106,  216.58.213.106:443  ,   192.168.1.100,   192.168.1.100:38116,       1,      44,    1
2018-05-19 14:38:08.523,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60578,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-19 14:38:10.091,    0.023,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58563,       2,     670,    1
2018-05-19 14:38:13.918,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:51164,  216.58.198.238,  216.58.198.238:80   ,       2,      80,    1
2018-05-19 14:38:15.506,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:34300,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:13.918,    0.014,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51164,       2,      80,    1
2018-05-19 14:38:15.513,    0.063,TCP  ,   192.168.1.100,   192.168.1.100:37070,  216.58.213.110,  216.58.213.110:443  ,      10,     916,    1
2018-05-19 14:38:15.527,    0.049,TCP  ,  216.58.213.110,  216.58.213.110:443  ,   192.168.1.100,   192.168.1.100:37070,      10,    4079,    1
2018-05-19 14:38:15.511,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34300,       2,     662,    1
2018-05-19 14:37:59.566,   20.454,TCP  ,   192.168.1.100,   192.168.1.100:51110,  216.58.198.238,  216.58.198.238:80   ,       8,    1194,    1
2018-05-19 14:37:59.580,   20.440,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51110,       7,    2402,    1
2018-05-19 14:38:25.924,    0.334,TCP  ,    52.38.164.48,    52.38.164.48:443  ,   192.168.1.100,   192.168.1.100:52336,       6,    3370,    1
2018-05-19 14:38:22.365,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:37713,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:26.439,    0.013,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:47913,       2,     594,    1
2018-05-19 14:38:25.747,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60699,        10.0.2.3,        10.0.2.3:53   ,       2,     166,    1
2018-05-19 14:38:02.969,   20.541,TCP  ,  35.166.234.151,  35.166.234.151:443  ,   192.168.1.100,   192.168.1.100:57140,      10,    5307,    1
2018-05-19 14:38:02.799,   20.711,TCP  ,    52.35.21.241,    52.35.21.241:443  ,   192.168.1.100,   192.168.1.100:59358,      10,    3769,    1
2018-05-19 14:38:22.042,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34098,       2,     670,    1
2018-05-19 14:38:26.437,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47913,        10.0.2.3,        10.0.2.3:53   ,       2,     172,    1
2018-05-19 14:38:22.041,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:34098,        10.0.2.3,        10.0.2.3:53   ,       2,     130,    1
2018-05-19 14:38:25.711,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:43300,        10.0.2.3,        10.0.2.3:53   ,       2,     148,    1
2018-05-19 14:38:25.733,    0.002,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:43300,       2,     480,    1
2018-05-19 14:38:25.748,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60699,       2,     528,    1
2018-05-19 14:38:25.763,    0.545,TCP  ,   192.168.1.100,   192.168.1.100:52336,    52.38.164.48,    52.38.164.48:443  ,       7,     631,    1
2018-05-19 14:38:22.366,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:37713,       2,     662,    1
2018-05-19 14:38:28.231,    0.002,TCP  ,   192.168.1.100,   192.168.1.100:38932,  216.58.208.130,  216.58.208.130:443  ,       3,     197,    1
2018-05-19 14:38:03.014,   25.220,TCP  ,   93.184.220.29,   93.184.220.29:80   ,   192.168.1.100,   192.168.1.100:42694,      14,    4504,    1
2018-05-19 14:38:18.901,    9.332,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51162,       2,      80,    1
2018-05-19 14:38:28.231,    0.003,TCP  ,   192.168.1.100,   192.168.1.100:35040,    216.58.214.3,    216.58.214.3:443  ,       3,     197,    1
2018-05-19 14:38:25.756,    2.476,TCP  ,    54.192.35.86,    54.192.35.86:443  ,   192.168.1.100,   192.168.1.100:41972,      14,   11706,    1
2018-05-19 14:38:31.275,    0.001,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60985,       2,     692,    1
2018-05-19 14:38:03.001,   25.233,TCP  ,   192.168.1.100,   192.168.1.100:42694,   93.184.220.29,   93.184.220.29:80   ,      14,    2735,    1
2018-05-19 14:38:10.155,   18.078,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51160,       4,     866,    1
2018-05-19 14:38:28.231,    0.003,TCP  ,    216.58.214.3,    216.58.214.3:443  ,   192.168.1.100,   192.168.1.100:35040,       3,     120,    1
2018-05-19 14:38:31.637,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:33570,       2,     692,    1
2018-05-19 14:38:28.232,    0.002,TCP  ,  216.58.213.106,  216.58.213.106:443  ,   192.168.1.100,   192.168.1.100:38118,       3,     120,    1
2018-05-19 14:38:26.453,    1.779,TCP  ,   192.168.1.100,   192.168.1.100:39360,  35.166.131.171,  35.166.131.171:443  ,      18,    1622,    1
2018-05-19 14:38:08.571,   19.663,TCP  ,   216.58.213.78,   216.58.213.78:443  ,   192.168.1.100,   192.168.1.100:37136,       5,     204,    1
2018-05-19 14:38:02.804,   25.430,TCP  ,   192.168.1.100,   192.168.1.100:57140,  35.166.234.151,  35.166.234.151:443  ,      13,    1339,    1
2018-05-19 14:38:10.115,   18.118,TCP  ,   192.168.1.100,   192.168.1.100:48250,   216.58.214.13,   216.58.214.13:443  ,      63,    6841,    1
2018-05-19 14:38:26.615,    1.617,TCP  ,  35.166.131.171,  35.166.131.171:443  ,   192.168.1.100,   192.168.1.100:39360,      18,   55823,    1
2018-05-19 14:37:59.785,   28.446,TCP  ,   192.168.1.100,   192.168.1.100:37006,  216.58.213.110,  216.58.213.110:443  ,      86,    5828,    1
2018-05-19 14:38:28.231,    0.003,TCP  ,  216.58.208.130,  216.58.208.130:443  ,   192.168.1.100,   192.168.1.100:38932,       3,     120,    1
2018-05-19 14:38:06.335,   21.899,TCP  ,  216.58.198.227,  216.58.198.227:443  ,   192.168.1.100,   192.168.1.100:59988,      58,   62759,    1
2018-05-19 14:38:02.634,   25.600,TCP  ,   192.168.1.100,   192.168.1.100:59358,    52.35.21.241,    52.35.21.241:443  ,      13,    1493,    1
2018-05-19 14:38:05.966,   22.268,TCP  ,   192.168.1.100,   192.168.1.100:56668,   216.58.213.68,   216.58.213.68:443  ,     106,   10837,    1
2018-05-19 14:38:06.322,   21.912,TCP  ,   192.168.1.100,   192.168.1.100:59988,  216.58.198.227,  216.58.198.227:443  ,      51,    3842,    1
2018-05-19 14:38:25.896,    2.336,TCP  ,    52.38.164.48,    52.38.164.48:443  ,   192.168.1.100,   192.168.1.100:52332,      10,    4351,    1
2018-05-19 14:37:59.487,   28.744,TCP  ,  216.58.198.238,  216.58.198.238:443  ,   192.168.1.100,   192.168.1.100:41120,      38,   22352,    1
2018-05-19 14:38:08.935,   19.297,TCP  ,   192.168.1.100,   192.168.1.100:56190,   216.58.213.67,   216.58.213.67:443  ,      34,    3423,    1
2018-05-19 14:38:18.900,    9.333,TCP  ,   192.168.1.100,   192.168.1.100:51162,  216.58.198.238,  216.58.198.238:80   ,       2,      80,    1
2018-05-19 14:38:03.182,   25.052,TCP  ,   93.184.220.29,   93.184.220.29:80   ,   192.168.1.100,   192.168.1.100:42696,       8,    1900,    1
2018-05-19 14:38:18.901,    9.332,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51156,       2,      80,    1
2018-05-19 14:38:31.274,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60985,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-19 14:37:56.098,   31.257,TCP  ,   192.168.1.100,   192.168.1.100:54958,   72.247.176.50,   72.247.176.50:80   ,       8,     916,    1
2018-05-19 14:38:10.013,   18.219,TCP  ,  216.58.198.230,  216.58.198.230:443  ,   192.168.1.100,   192.168.1.100:41550,      11,    1689,    1
2018-05-19 14:38:18.901,    9.332,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51158,       2,      80,    1
2018-05-19 14:38:09.985,   18.248,TCP  ,    172.217.23.8,    172.217.23.8:443  ,   192.168.1.100,   192.168.1.100:51456,      11,     998,    1
2018-05-19 14:38:25.749,    2.483,TCP  ,   192.168.1.100,   192.168.1.100:41972,    54.192.35.86,    54.192.35.86:443  ,      14,    2137,    1
2018-05-19 14:38:08.557,   19.676,TCP  ,   192.168.1.100,   192.168.1.100:37136,   216.58.213.78,   216.58.213.78:443  ,       6,     538,    1
2018-05-19 14:38:18.900,    9.332,TCP  ,   192.168.1.100,   192.168.1.100:51158,  216.58.198.238,  216.58.198.238:80   ,       2,      80,    1
2018-05-19 14:38:31.636,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:33570,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-19 14:37:56.105,   31.250,TCP  ,   72.247.176.50,   72.247.176.50:80   ,   192.168.1.100,   192.168.1.100:54958,       7,    1052,    1
2018-05-19 14:38:03.168,   25.066,TCP  ,   192.168.1.100,   192.168.1.100:42696,   93.184.220.29,   93.184.220.29:80   ,       9,    1242,    1
2018-05-19 14:38:09.982,   18.251,TCP  ,   192.168.1.100,   192.168.1.100:51456,    172.217.23.8,    172.217.23.8:443  ,       8,    1557,    1
2018-05-19 14:38:05.979,   22.255,TCP  ,   216.58.213.68,   216.58.213.68:443  ,   192.168.1.100,   192.168.1.100:56668,     130,  149183,    1
2018-05-19 14:38:25.735,    2.497,TCP  ,   192.168.1.100,   192.168.1.100:52332,    52.38.164.48,    52.38.164.48:443  ,      11,    1389,    1
2018-05-19 14:38:08.935,   19.297,TCP  ,   216.58.213.67,   216.58.213.67:443  ,   192.168.1.100,   192.168.1.100:56190,      45,   35613,    1
2018-05-19 14:38:10.129,   18.104,TCP  ,   216.58.214.13,   216.58.214.13:443  ,   192.168.1.100,   192.168.1.100:48250,      85,  121434,    1
2018-05-19 14:38:08.539,   19.694,TCP  ,   216.58.213.78,   216.58.213.78:443  ,   192.168.1.100,   192.168.1.100:37132,      26,   55003,    1
2018-05-19 14:38:18.901,    9.331,TCP  ,   192.168.1.100,   192.168.1.100:51156,  216.58.198.238,  216.58.198.238:80   ,       2,      80,    1
2018-05-19 14:38:09.960,   18.272,TCP  ,   192.168.1.100,   192.168.1.100:41550,  216.58.198.230,  216.58.198.230:443  ,      10,    1093,    1
2018-05-19 14:38:10.155,   18.077,TCP  ,   192.168.1.100,   192.168.1.100:51160,  216.58.198.238,  216.58.198.238:80   ,       4,     587,    1
2018-05-19 14:37:59.799,   28.432,TCP  ,  216.58.213.110,  216.58.213.110:443  ,   192.168.1.100,   192.168.1.100:37006,     149,  469813,    1
2018-05-19 14:38:28.232,    0.002,TCP  ,   192.168.1.100,   192.168.1.100:38118,  216.58.213.106,  216.58.213.106:443  ,       3,     197,    1
2018-05-19 14:37:59.473,   28.758,TCP  ,   192.168.1.100,   192.168.1.100:41120,  216.58.198.238,  216.58.198.238:443  ,      23,   27357,    1
2018-05-19 14:38:08.539,   19.694,TCP  ,   192.168.1.100,   192.168.1.100:37132,   216.58.213.78,   216.58.213.78:443  ,      23,    2219,    1
2018-05-19 14:38:36.994,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:33884,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-19 14:38:36.995,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:33884,       2,     650,    1
2018-05-19 14:38:38.859,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:35463,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-19 14:38:38.858,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:36632,       2,     704,    1
2018-05-19 14:38:38.857,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58268,       2,     660,    1
2018-05-19 14:38:38.893,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:34665,        10.0.2.3,        10.0.2.3:53   ,       2,     118,    1
2018-05-19 14:38:39.393,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42710,       2,     668,    1
2018-05-19 14:38:38.857,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:36632,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:39.992,    0.155,TCP  ,   192.168.1.100,   192.168.1.100:37200,   216.58.213.78,   216.58.213.78:443  ,      10,     916,    1
2018-05-19 14:38:40.271,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35416,       2,     752,    1
2018-05-19 14:38:40.005,    0.142,TCP  ,   216.58.213.78,   216.58.213.78:443  ,   192.168.1.100,   192.168.1.100:37200,      10,    3505,    1
2018-05-19 14:38:38.856,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58268,        10.0.2.3,        10.0.2.3:53   ,       2,     120,    1
2018-05-19 14:38:37.347,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60632,       2,     395,    1
2018-05-19 14:38:38.858,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:52168,       2,     676,    1
2018-05-19 14:38:39.392,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42710,        10.0.2.3,        10.0.2.3:53   ,       2,     128,    1
2018-05-19 14:38:38.894,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34665,       2,     720,    1
2018-05-19 14:38:38.857,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:52168,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
